UK000070765,20150322,TAVG,62,H,,S,
UK000070765,20150323,TMAX,72,,,E,
UK000070765,20150323,TMIN,49,,,E,
UK000070765,20150323,PRCP,6,,,E,
UK000070765,20150323,TAVG,56,H,,S,
UK000070765,20150324,TMAX,72,,,E,
UK000070765,20150324,TMIN,5,,,E,
UK000070765,20150324,PRCP,36,,,E,
UK000070765,20150324,TAVG,28,H,,S,
UK000070765,20150325,TMAX,58,,,E,
UK000070765,20150325,TMIN,-14,,,E,
UK000070765,20150325,PRCP,4,,,E,
UK000070765,20150325,TAVG,30,H,,S,
UK000070765,20150326,TMAX,96,,,E,
UK000070765,20150326,TMIN,43,,,E,
UK000070765,20150326,PRCP,12,,,E,
UK000070765,20150326,TAVG,41,H,,S,
UK000070765,20150327,TMAX,112,,,E,
UK000070765,20150327,TMIN,8,,,E,
UK000070765,20150327,PRCP,66,,,E,
UK000070765,20150327,TAVG,46,H,,S,
UK000070765,20150328,TMAX,70,,,E,
UK000070765,20150328,TMIN,30,,,E,
UK000070765,20150328,PRCP,4,,,E,
UK000070765,20150328,TAVG,50,H,,S,
UK000070765,20150329,TMAX,74,,,E,
UK000070765,20150329,TMIN,-4,,,E,
UK000070765,20150329,PRCP,60,,,E,
UK000070765,20150329,TAVG,31,H,,S,
UK000070765,20150330,TMAX,66,,,E,
UK000070765,20150330,TMIN,5,,,E,
UK000070765,20150330,PRCP,60,,,E,
UK000070765,20150330,TAVG,31,H,,S,
UK000070765,20150331,TMAX,66,,,E,
UK000070765,20150331,TMIN,10,,,E,
UK000070765,20150331,PRCP,20,,,E,
UK000070765,20150331,SNWD,20,,,S,
UK000070765,20150331,TAVG,26,H,,S,
UK000070765,20150401,TMAX,85,,,E,
UK000070765,20150401,TMIN,4,,,E,
UK000070765,20150401,PRCP,20,,,E,
UK000070765,20150401,TAVG,14,H,,S,
UK000070765,20150402,TMAX,68,,,E,
UK000070765,20150402,TMIN,-2,,,E,
UK000070765,20150402,PRCP,6,,,E,
UK000070765,20150402,TAVG,42,H,,S,
UK000070765,20150403,TMAX,99,,,E,
UK000070765,20150403,TMIN,50,,,E,
UK000070765,20150403,PRCP,16,,,E,
UK000070765,20150403,TAVG,50,H,,S,
UK000070765,20150404,TMAX,134,,,E,
UK000070765,20150404,TMIN,43,,,E,
UK000070765,20150404,PRCP,10,,,E,
UK000070765,20150404,TAVG,63,H,,S,
UK000070765,20150405,TMAX,151,,,E,
UK000070765,20150405,TMIN,10,,,E,
UK000070765,20150405,PRCP,2,,,E,
UK000070765,20150405,TAVG,64,H,,S,
UK000070765,20150406,TMAX,100,,,E,
UK000070765,20150406,TMIN,11,,,E,
UK000070765,20150406,PRCP,0,,,E,
UK000070765,20150406,TAVG,77,H,,S,
UK000070765,20150407,TMAX,135,,,E,
UK000070765,20150407,TMIN,67,,,E,
UK000070765,20150407,PRCP,32,,,E,
UK000070765,20150407,TAVG,79,H,,S,
UK000070765,20150408,TMAX,151,,,E,
UK000070765,20150408,TMIN,55,,,E,
